Riff	TP	FP	FN
1	10	0	0
1-1	10	0	0
1-2	10	0	0
2	16	0	0
2-1	16	2	0
2-2	16	0	0
2-3	16	1	0
2-4	16	0	0
3	9	1	0
3-1	9	0	0
3-2	9	0	0
3-3	8	2	1
3-4	9	1	0
3-5	9	0	0
4	14	0	0
4-1	14	1	0
4-2	14	0	0
4-3	14	0	0
5	30	0	2
5-1	32	0	0
5-2	32	0	0
5-3	32	0	0
7	8	0	0
7-1	8	0	0
7-2	8	0	0
7-3	8	0	0
8	6	0	0
8-1	6	0	0
8-2	6	0	0
8-3	6	0	0
9	8	0	0
10	8	0	0
10-1	8	1	0
10-2	8	1	0
10-3	7	1	1
11	16	0	0
11-1	16	1	0
11-2	16	0	0
11-3	15	0	1
12	9	2	0
12-1	9	1	0
12-2	9	0	0
12-3	9	0	0
13	5	0	0
13-1	5	1	0
13-2	5	0	0
13-3	5	0	0
14	7	0	0
14-1	7	0	0
14-2	7	2	0
14-3	7	1	0
15	12	1	0
15-1	10	1	2
15-2	12	0	0
15-3	12	0	0
