iter	Accuracy	MultiClass
0	0.5165505226	-1.977486662
1	0.5785714286	-1.889926094
2	0.6067944251	-1.816666213
3	0.6270034843	-1.748635705
4	0.6480836237	-1.686131111
5	0.6585365854	-1.632335107
6	0.6759581882	-1.579489295
7	0.6895470383	-1.533346037
8	0.7071428571	-1.486592852
9	0.7243902439	-1.446834338
10	0.7381533101	-1.405156982
11	0.7545296167	-1.364111073
12	0.7609756098	-1.326573133
13	0.7667247387	-1.294314756
14	0.7717770035	-1.264922096
15	0.7831010453	-1.236664393
16	0.7994773519	-1.209080245
17	0.8048780488	-1.179767718
18	0.8104529617	-1.156648111
19	0.8156794425	-1.134203676
20	0.8222996516	-1.10906068
21	0.8283972125	-1.084987818
22	0.8337979094	-1.062496342
23	0.837804878	-1.041231779
24	0.8421602787	-1.02236847
25	0.8477351916	-1.002795112
26	0.8512195122	-0.9832424257
27	0.8548780488	-0.9658512767
28	0.8602787456	-0.9502833562
29	0.8620209059	-0.9337779188
30	0.8655052265	-0.919839871
31	0.8705574913	-0.9036088578
32	0.8726480836	-0.8892775479
33	0.8780487805	-0.8746340443
34	0.881358885	-0.8576342008
35	0.8832752613	-0.8467447633
36	0.8851916376	-0.8353302108
37	0.8867595819	-0.8242031828
38	0.887630662	-0.8132224691
39	0.887804878	-0.8036226386
40	0.8930313589	-0.792549968
41	0.8954703833	-0.7827466586
42	0.8982578397	-0.7727781502
43	0.8993031359	-0.7629503416
44	0.9015679443	-0.7527333542
45	0.9031358885	-0.7428545058
46	0.9059233449	-0.7342358313
47	0.9073170732	-0.7242283625
48	0.912195122	-0.7144675012
49	0.9144599303	-0.7053570153
50	0.9174216028	-0.6970560639
51	0.9193379791	-0.688773657
52	0.9207317073	-0.6811359685
53	0.9214285714	-0.6742396763
54	0.9240418118	-0.6659467212
55	0.9275261324	-0.6563736015
56	0.9290940767	-0.6500535068
57	0.9306620209	-0.6436274618
58	0.9343205575	-0.6352912079
59	0.9346689895	-0.6273835186
60	0.9369337979	-0.6210055361
61	0.9385017422	-0.614866165
62	0.9402439024	-0.6083037586
63	0.9409407666	-0.6017156196
64	0.9418118467	-0.5962259432
65	0.9432055749	-0.5888890921
66	0.9440766551	-0.5826380713
67	0.9451219512	-0.5772621288
68	0.9459930314	-0.5699314024
69	0.9473867596	-0.5636379335
70	0.9491289199	-0.55748912
71	0.950174216	-0.5515859783
72	0.9505226481	-0.5452028069
73	0.9515679443	-0.539809128
74	0.9522648084	-0.534979482
75	0.9534843206	-0.5300657053
76	0.9547038328	-0.5250304112
77	0.9548780488	-0.5215971305
78	0.956271777	-0.5153276929
79	0.9573170732	-0.5099133854
80	0.9592334495	-0.5035908662
81	0.9594076655	-0.4981111852
82	0.9601045296	-0.4936028776
83	0.9614982578	-0.4890861485
84	0.9616724739	-0.484347481
85	0.9618466899	-0.479590184
86	0.96271777	-0.4743227437
87	0.9630662021	-0.4701660156
88	0.9637630662	-0.4644766459
89	0.9635888502	-0.4598122839
90	0.9648083624	-0.453229334
91	0.9651567944	-0.4501139465
92	0.9668989547	-0.4451341157
93	0.9672473868	-0.4415209621
94	0.9681184669	-0.4379035976
95	0.9691637631	-0.4321111274
96	0.9696864111	-0.4264126555
97	0.9705574913	-0.4232576271
98	0.9717770035	-0.419386552
99	0.9719512195	-0.4160202611
100	0.9719512195	-0.4121044837
101	0.9731707317	-0.4089381839
102	0.9736933798	-0.4048170562
103	0.9745644599	-0.4008691661
104	0.9754355401	-0.3968724055
105	0.9754355401	-0.3933386188
106	0.975261324	-0.3906913093
107	0.9763066202	-0.3872964361
108	0.9768292683	-0.3834314858
109	0.9778745645	-0.3804555222
110	0.9780487805	-0.3759586986
111	0.9782229965	-0.3727431453
112	0.9785714286	-0.3690925625
113	0.9797909408	-0.3648599552
114	0.9799651568	-0.3615296473
115	0.9803135889	-0.3578748537
116	0.9803135889	-0.3548810048
117	0.981184669	-0.3510607357
118	0.981533101	-0.3479005608
119	0.9824041812	-0.3452373013
120	0.9825783972	-0.3421315263
121	0.9829268293	-0.3392109409
122	0.9832752613	-0.3360496388
123	0.9834494774	-0.3332851716
124	0.9834494774	-0.3307697788
125	0.9836236934	-0.3277215725
126	0.9848432056	-0.3240855573
127	0.9853658537	-0.3209229579
128	0.9850174216	-0.318573551
129	0.9864111498	-0.3151117518
130	0.9862369338	-0.3120434911
131	0.9862369338	-0.309475825
132	0.9865853659	-0.3070422448
133	0.9871080139	-0.3042038761
134	0.9871080139	-0.3013779271
135	0.98728223	-0.2987866764
136	0.98728223	-0.2964177893
137	0.987804878	-0.2931964303
138	0.9883275261	-0.2903437279
139	0.9886759582	-0.2884556362
140	0.9888501742	-0.2863273807
141	0.9888501742	-0.2844477318
142	0.9895470383	-0.2824009912
143	0.9893728223	-0.2800632809
144	0.9897212544	-0.2779668828
145	0.9902439024	-0.2754771801
146	0.9900696864	-0.2725177193
147	0.9912891986	-0.2697221178
148	0.9914634146	-0.2680700854
149	0.9914634146	-0.265608646
150	0.9918118467	-0.2634407921
151	0.9921602787	-0.2609105127
152	0.9921602787	-0.2591655027
153	0.9923344948	-0.2573766409
154	0.9926829268	-0.2554375094
155	0.9926829268	-0.2536679577
156	0.9925087108	-0.2511504808
157	0.9926829268	-0.2496125225
158	0.9928571429	-0.2481143114
159	0.9926829268	-0.2464477114
160	0.9930313589	-0.2444319137
161	0.9932055749	-0.242701365
162	0.9932055749	-0.2409940607
163	0.9933797909	-0.2394385786
164	0.993902439	-0.2377724039
165	0.993902439	-0.2354846489
166	0.993902439	-0.2337756007
167	0.993902439	-0.2318996097
168	0.9940766551	-0.2302200583
169	0.993902439	-0.2288000446
170	0.9942508711	-0.2266571151
171	0.9942508711	-0.2245513384
172	0.9944250871	-0.2223496494
173	0.9942508711	-0.2205783326
174	0.9947735192	-0.2183923808
175	0.9949477352	-0.2163905552
