iter	Passed	Remaining
0	81	81915
1	164	82059
2	237	78956
3	318	79401
4	405	80706
5	487	80773
6	574	81551
7	654	81149
8	740	81513
9	820	81238
10	905	81433
11	990	81551
12	1077	81778
13	1155	81384
14	1230	80801
15	1311	80639
16	1387	80227
17	1470	80204
18	1541	79595
19	1612	79017
20	1693	78969
21	1774	78879
22	1858	78924
23	1935	78716
24	2012	78498
25	2089	78279
26	2170	78212
27	2244	77909
28	2317	77586
29	2395	77442
30	2466	77084
31	2544	76980
32	2617	76695
33	2692	76502
34	2777	76568
35	2842	76113
36	2909	75720
37	2976	75353
38	3043	74982
39	3107	74579
40	3178	74343
41	3249	74120
42	3318	73866
43	3390	73676
44	3470	73647
45	3542	73464
46	3613	73264
47	3685	73100
48	3759	72972
49	3829	72753
50	3894	72476
51	3962	72244
52	4030	72018
53	4095	71743
54	4163	71543
55	4240	71480
56	4304	71221
57	4365	70895
58	4440	70822
59	4515	70745
60	4586	70606
61	4657	70468
62	4726	70295
63	4793	70106
64	4860	69923
65	4943	69958
66	5015	69845
67	5082	69662
68	5155	69563
69	5223	69400
70	5295	69293
71	5365	69150
72	5437	69053
73	5503	68866
74	5576	68781
75	5651	68708
76	5716	68518
77	5774	68252
78	5848	68183
79	5915	68033
80	5990	67967
81	6059	67838
82	6126	67686
83	6190	67501
84	6264	67440
85	6331	67295
86	6400	67172
87	6469	67044
88	6543	66975
89	6618	66922
90	6699	66916
91	6762	66740
92	6835	66662
93	6907	66573
94	6972	66419
95	7046	66355
96	7122	66302
97	7188	66163
98	7255	66031
99	7324	65923
100	7395	65831
101	7459	65670
102	7534	65620
103	7606	65531
104	7680	65468
105	7746	65336
106	7814	65214
107	7888	65149
108	7961	65078
109	8027	64948
110	8105	64916
111	8181	64863
112	8258	64824
113	8334	64773
114	8407	64704
115	8481	64634
116	8557	64582
117	8631	64517
118	8705	64453
119	8782	64402
120	8853	64312
121	8925	64234
122	8991	64111
123	9060	64006
124	9127	63892
125	9197	63797
126	9271	63735
127	9346	63670
128	9416	63581
129	9487	63494
130	9562	63431
131	9630	63325
132	9698	63221
133	9770	63145
134	9843	63071
135	9916	62998
136	9986	62908
137	10059	62834
138	10130	62748
139	10196	62632
140	10261	62512
141	10323	62379
142	10392	62279
143	10469	62237
144	10540	62154
145	10614	62088
146	10691	62038
147	10768	61992
148	10839	61907
149	10912	61839
150	10990	61796
151	11066	61741
152	11135	61646
153	11207	61569
154	11282	61508
155	11348	61395
156	11422	61331
157	11492	61244
158	11556	61127
159	11624	61028
160	11693	60935
161	11764	60857
162	11837	60786
163	11913	60732
164	11985	60655
165	12057	60578
166	12132	60514
167	12201	60426
168	12269	60330
169	12336	60230
170	12412	60177
171	12486	60108
172	12559	60037
173	12626	59938
174	12697	59860
175	12767	59773
176	12832	59667
177	12906	59601
178	12993	59595
179	13069	59538
180	13136	59442
181	13203	59344
182	13274	59264
183	13349	59200
184	13412	59087
185	13483	59007
186	13548	58904
187	13624	58844
188	13693	58759
189	13759	58660
190	13827	58568
191	13896	58481
192	13976	58439
193	14042	58339
194	14105	58231
195	14179	58165
196	14249	58084
197	14321	58010
198	14393	57936
199	14466	57866
200	14535	57779
201	14604	57695
202	14673	57608
203	14736	57502
204	14804	57414
205	14873	57329
206	14948	57267
207	15017	57181
208	15082	57082
209	15150	56993
210	15217	56904
211	15286	56821
212	15363	56766
213	15434	56689
214	15501	56599
215	15576	56537
216	15643	56444
217	15716	56378
218	15790	56312
219	15866	56254
220	15938	56181
221	16009	56106
222	16083	56040
223	16153	55959
224	16222	55877
225	16295	55809
226	16358	55705
227	16431	55635
228	16502	55559
229	16579	55503
230	16657	55452
231	16726	55370
232	16794	55285
233	16868	55220
234	16944	55159
235	17015	55084
236	17085	55006
237	17158	54936
238	17228	54856
239	17300	54785
240	17368	54698
241	17440	54628
242	17513	54557
243	17579	54466
244	17648	54387
245	17713	54292
246	17782	54212
247	17857	54149
248	17930	54080
249	17998	53994
250	18071	53925
251	18142	53851
252	18210	53766
253	18277	53680
254	18351	53616
255	18420	53535
256	18490	53456
257	18559	53377
258	18629	53298
259	18696	53213
260	18767	53138
261	18833	53051
262	18906	52980
263	18968	52881
264	19045	52824
265	19120	52760
266	19203	52719
267	19271	52637
268	19345	52570
269	19418	52502
270	19485	52416
271	19552	52331
272	19616	52237
273	19677	52138
274	19746	52057
275	19812	51972
276	19881	51893
277	19954	51824
278	20023	51746
279	20091	51663
280	20155	51573
281	20224	51492
282	20290	51406
283	20356	51320
284	20425	51243
285	20504	51189
286	20570	51104
287	20642	51033
288	20710	50952
289	20780	50876
290	20847	50794
291	20921	50726
292	20997	50667
293	21071	50599
294	21141	50525
295	21217	50463
296	21296	50407
297	21363	50325
298	21437	50259
299	21503	50174
300	21578	50111
301	21642	50021
302	21716	49955
303	21788	49884
304	21854	49799
305	21930	49737
306	22005	49674
307	22074	49595
308	22154	49543
309	22224	49468
310	22302	49410
311	22370	49329
312	22435	49243
313	22505	49168
314	22579	49100
315	22653	49034
316	22723	48958
317	22794	48886
318	22866	48815
319	22940	48747
320	23013	48679
321	23083	48603
322	23151	48525
323	23225	48458
324	23306	48404
325	23387	48352
326	23453	48270
327	23520	48187
328	23591	48116
329	23658	48033
330	23724	47950
331	23795	47877
332	23862	47796
333	23933	47722
334	24021	47684
335	24093	47614
336	24162	47536
337	24232	47461
338	24309	47399
339	24382	47330
340	24447	47245
341	24521	47178
342	24594	47108
343	24659	47025
344	24730	46951
345	24795	46867
346	24863	46788
347	24932	46712
348	25004	46640
349	25068	46555
350	25133	46472
351	25212	46414
352	25282	46340
353	25352	46264
354	25423	46192
355	25488	46109
356	25559	46035
357	25625	45954
358	25683	45858
359	25751	45781
360	25821	45706
361	25884	45619
362	25946	45530
363	26017	45459
364	26087	45385
365	26150	45299
366	26217	45220
367	26287	45146
368	26358	45074
369	26420	44986
370	26493	44917
371	26560	44838
372	26626	44757
373	26699	44689
374	26768	44613
375	26840	44543
376	26901	44455
377	26974	44387
378	27044	44313
379	27112	44235
380	27181	44161
381	27256	44095
382	27327	44023
383	27392	43942
384	27462	43868
385	27528	43788
386	27595	43710
387	27658	43626
388	27724	43546
389	27794	43473
390	27866	43402
391	27931	43321
392	28000	43248
393	28070	43174
394	28139	43100
395	28204	43019
396	28277	42951
397	28353	42886
398	28427	42819
399	28495	42743
400	28566	42671
401	28636	42598
402	28700	42515
403	28764	42435
404	28834	42361
405	28910	42297
406	28986	42233
407	29058	42163
408	29130	42093
409	29199	42018
410	29272	41949
411	29342	41877
412	29416	41810
413	29481	41729
414	29552	41658
415	29616	41577
416	29691	41510
417	29755	41430
418	29831	41365
419	29900	41291
420	29971	41220
421	30042	41148
422	30114	41077
423	30182	41003
424	30245	40920
425	30314	40845
426	30378	40766
427	30451	40696
428	30518	40619
429	30585	40543
430	30658	40475
431	30730	40404
432	30794	40324
433	30861	40247
434	30937	40183
435	31003	40105
436	31081	40042
437	31145	39963
438	31214	39888
439	31284	39816
440	31355	39745
441	31423	39670
442	31496	39601
443	31568	39531
444	31635	39455
445	31702	39379
446	31769	39303
447	31837	39227
448	31899	39145
449	31969	39073
450	32042	39005
451	32116	38937
452	32184	38863
453	32254	38790
454	32321	38714
455	32389	38639
456	32467	38577
457	32534	38501
458	32610	38436
459	32677	38360
460	32758	38300
461	32825	38225
462	32895	38153
463	32953	38067
464	33023	37994
465	33093	37922
466	33159	37846
467	33230	37774
468	33306	37709
469	33377	37638
470	33443	37562
471	33521	37499
472	33595	37430
473	33668	37361
474	33747	37299
475	33817	37227
476	33887	37155
477	33953	37078
478	34020	37003
479	34095	36936
480	34166	36865
481	34229	36786
482	34305	36720
483	34372	36645
484	34439	36569
485	34516	36504
486	34582	36428
487	34650	36354
488	34716	36278
489	34792	36212
490	34865	36143
491	34935	36071
492	35005	35999
493	35078	35930
494	35152	35862
495	35218	35786
496	35290	35716
497	35363	35647
498	35433	35575
499	35498	35498
500	35565	35423
501	35639	35355
502	35710	35284
503	35783	35215
504	35850	35140
505	35926	35074
506	35989	34995
507	36054	34918
508	36124	34846
